name,lng,lat,1M5g_yonghushu,1M5g_zhuliubi,6M5g_yonghushu,6M5g_zhuliubi,9M5g_yonghushu,9M5g_zhuliubi,12M5g_yonghushu,12M5g_zhuliubi,归属区域名称
房山5G长阳行政学校会议楼2ZM,116.172614,39.750177,,,,,17,0.0128,20,0.0206,北京良乡大学城
房山5G良乡永兴楼1Z,116.136891,39.748731,,,,,731,0.4305,1001,0.6883,北京良乡大学城
房山5G良乡行宫营业厅1ZM,116.140777,39.746754,2,0.0017,7,0.0191,11,0.0445,13,0.0636,北京良乡大学城
房山5G良乡鱼儿沟1Z,116.129352,39.743985,279,0.3502,1237,0.3852,1831,0.4775,2474,0.8125,北京良乡大学城
房山5G良乡花鸟鱼虫市场1ZM,116.138902,39.742499,,,,,,,4,0.4552,北京良乡大学城
房山5G良乡北潞园派出所1Z,116.122651,39.742181,,,2874,0.3934,4575,0.5652,5865,0.913,北京良乡大学城
房山5G良乡青年创业园1ZM,116.133321,39.741364,,,,,36,0.1585,46,0.2762,北京良乡大学城
房山5G良乡高教园区大学生创业实习基地1ZM,116.171697,39.740109,,,2248,0.3622,3394,0.4931,4586,0.8386,北京良乡大学城
房山5G良乡高教园区大学生创业基地2HM,116.165502,39.738724,0,0,2,0.0146,2,0.0265,2,0.0383,北京良乡大学城
房山5G良乡北京理工大学5号宿舍楼B座2ZM,116.165591,39.735642,,,,,,,5,1,北京良乡大学城
房山5G良乡美廉美良乡店1ZM,116.129261,39.735161,,,,,5,0.0424,7,0.0633,北京良乡大学城
房山5G良乡智汇雅苑二期4ZM,116.175041,39.734211,,,,,,,0,0,北京良乡大学城
房山5G良乡龙鑫大厦53号1ZM,116.135731,39.733481,,,,,5,0.0012,6,0.002,北京良乡大学城
房山5G良乡拱辰大街营业厅1ZM,116.136224,39.7332,3,0.0126,6,0.0511,10,0.0414,12,0.0638,北京良乡大学城
房山5G良乡北京理工大学北校区7ZM,116.161848,39.731849,,,,,,,0,0,北京良乡大学城
房山5G良乡北京理工大学北校区8ZM,116.161848,39.731849,,,,,,,0,0,北京良乡大学城
房山5G良乡动感地带品牌店（理工大学营业厅）1ZM,116.161326,39.73112,0,0,0,0,0,0,0,0,北京良乡大学城
房山5G良乡客赛思服装市场1ZM,116.135389,39.730946,,,,,35,0.0453,47,0.072,北京良乡大学城
房山5G良乡国土资源局1ZM,116.128291,39.730203,,,,,,,7,0.0212,北京良乡大学城
房山5G良乡西路营业厅1ZM,116.129338,39.729942,1,0.001,4,0.013,5,0.0211,7,0.0351,北京良乡大学城
房山5G良乡国泰百货1ZM,116.136414,39.729251,,,,,,,0,0,北京良乡大学城
房山5G良乡西潞时代大厦1ZM,116.121141,39.728936,,,,,,,13,0.0085,北京良乡大学城
房山5G良乡同方大厦1ZM,116.130311,39.728291,,,,,19,0.1922,23,0.321,北京良乡大学城
房山5G良乡妇幼保健院1ZM,116.121131,39.727231,,,,,,,3438,0.8682,北京良乡大学城
房山5G良乡裕恒通家居广场1ZM,116.141207,39.726452,,,,,,,0,0,北京良乡大学城
