id,name,value,lng,lat
16679,海淀京门大厦FDZL,26.1188101,116.31373,39.9028
16680,海淀温泉村中东GZL,0,116.153409,40.05194
16681,石景山联勤部办公区ZLG,82.33105217,116.146821,39.950324
16682,石景山杨庄路杨庄中区T20012小灯杆ZLG,86.0719888,116.188071,39.921463
16683,石景山区老山教练场环形路ZLG,89.85531672,116.225437,39.913586
16684,通州区曹庄村北HL,39.54237703,116.895582,39.741722
16685,通州区北窑上村中HL,236.5451222,116.675631,40.001347
16686,通州区宋庄寨辛庄村中HL,231.8583562,116.657003,40.005871
16687,通州区宋庄镇辛店村南HL,85.44942616,116.738454,39.953574
16688,通州区新华联运河湾南区HL,73.18863014,116.690871,39.903172
16689,通州区新华联运河湾2HL,149.8852712,116.689582,39.905587
16690,通州区三元村东HL,190.0809993,116.689592,39.913052
16691,通州区宋庄关辛庄村西HL,103.0899461,116.738738,40.0033
16692,通州区马驹桥温馨家园南HL,774.3431849,116.543576,39.736213
16693,通州区华远好天地西南HL,50.62816243,116.690109,39.869305
16694,通州区口子村北替换站HL,226.6390142,116.608372,39.847982
16695,通州区口子村西替换站HL,310.2370604,116.604768,39.845824
16696,通州区党校西侧HL,121.231913,116.644481,39.899789
16697,通州区小甸屯村南HL,206.9194639,116.773328,39.599087
16698,通州区西集郎西村HL,79.6443604,116.821845,39.793112
16699,通州区胡家村西北HL,10.0122287,116.782764,39.660447
16700,通州区玉桥西里中街HL,210.6316069,116.668569,39.887034
16701,通州区园中园金融街3号楼HL,39.16030919,116.633778,39.944126
16702,通州区八里桥市场西门HL,254.9878252,116.636868,39.915292
16703,通州区漷县谷德玛特HL,49.34160383,116.778333,39.782777
16704,通州区副中心B2区HL,156.7618521,116.724,39.90303
16705,通州区副中心B4区HL,117.0357903,116.714581,39.903294
16706,通州区副中心A1区东院HL,206.0939553,116.721464,39.899178
16707,通州区副中心A2区HL,58.31786036,116.718381,39.903787
16708,通州区副中心A3区HL,294.8266613,116.722154,39.897706
16709,通州区副中心A4区HL,220.9648325,116.715,39.89749
16710,通州区副中心B1区HL,104.6080863,116.722,39.90524
16711,通州区副中心B3区HL,242.7180294,116.715147,39.904969
16712,通州区城市之光西HL,136.3813236,116.572792,39.813624
16713,通州区肖家林村HL,88.11807968,116.895586,39.778269
16714,通州京哈动车主站九AHL,77.05749177,116.61493,39.893627
16715,通州区梨园镇云景里小区北HL,159.082215,116.656564,39.879416
16716,平谷铁塔胡庄村北HL,133.9765552,117.249031,40.181294
16717,平谷铁塔东罗庄HL,34.28982063,117.266947,40.136226
16718,平谷铁塔许家务南HL,67.63298324,117.046645,40.182381
16720,通州4G梨园东里北区2H,122.785471,116.673711,39.883581
16721,平谷铁塔滨河小区东侧杆站HL,74.6282738,117.111246,40.131674
16722,平谷铁塔大兴庄HL,78.56354213,117.033883,40.153244
16723,平谷铁塔北城子HL,70.24233924,117.070824,40.167512
16724,平谷铁塔蔡坨村东北HL,85.2588803,117.019042,40.173316
16725,通州4G梨园邮政局2H,157.2048609,116.656012,39.867233
16726,平谷铁塔砖瓦窑村中HL,55.25174705,117.070486,40.289765
16727,平谷铁塔大兴庄2HL,69.03955915,117.0339,40.14446
16728,平谷铁塔王都庄村西北HL,86.78544213,117.169451,40.150965
16729,平谷铁塔国际酒店HL,44.33502801,117.136461,40.161705
16730,通州4G天地美墅2H,96.84943755,116.651313,39.867838
16732,大兴天河西路联袂义齿HL,75.06703558,116.304843,39.692002
16733,大兴庞各庄四各庄西HLG,135.1477289,116.339812,39.634205
16734,大兴安定多元水务北HLG,67.7428467,116.510147,39.617516
16735,大兴枣林村南侧HLG,167.8277628,116.454418,39.701263
16736,大兴青云店小张本村南HLG,34.57031486,116.450333,39.690094
