id,name,lng,lat
NR18111483,朝阳国泰饭店HL,116.442932,39.905777
NR18111485,朝阳国展A座NL,116.436944,39.961111
NR18111486,朝阳国展北侧共联通HLG,116.437724,39.962907
NR18111487,朝阳国展宾馆HL,116.438774,39.959293
NR18111489,朝阳海丰坤鹏公司HLG,116.42839,39.82977
NR18111490,朝阳海关驻朝阳口岸HLG,116.474722,39.836388
NR18111491,朝阳海航大厦HL,116.461228,39.958251
NR18111493,朝阳海文王府井HL,116.454571,39.879991
NR18111495,朝阳汉拿山酒店FDDHL,116.418333,39.996111
NR18122199,朝阳汉庭酒店惠新东桥店HL,116.416,39.9871
NR18111498,朝阳合生国际花园东南角HLG,116.454909,39.897626
NR18111500,朝阳和平东桥NL,116.418888,39.968333
NR18111501,朝阳和平街11区14号楼HL,116.416628,39.966379
NR18122294,朝阳和平街HL,116.423,39.9725
NR18111511,朝阳核桃园北里小区3号楼HL,116.450633,39.924295
NR18122243,朝阳恒安大厦HL,116.455,39.9303
NR18111513,朝阳恒惠路东北HL,116.45,39.9028
NR18111524,朝阳弘善家园418号楼HLG,116.442881,39.867916
NR18111525,朝阳弘善家园G区HL,116.447051,39.867241
NR18111526,朝阳弘燕双龙超市HL,116.460833,39.866666
NR18111528,朝阳红坊路北侧HLG,116.46129,39.82377
NR18111529,朝阳红坊路西段HLG,116.453911,39.823352
NR18111535,朝阳红寺桥HLG,116.432282,39.831913
NR18111536,朝阳红星美凯龙HLG,116.482,39.8868
NR18111538,朝阳鸿博家园3号楼HL,116.465113,39.829032
NR18111540,朝阳鸿博家园二期A区6号楼HL,116.458393,39.824972
NR18111541,朝阳鸿博家园二期F区6号楼HL,116.447781,39.824742
NR18111542,朝阳鸿博家园市场HLG,116.465756,39.830795
NR18111543,朝阳鸿福宫宾馆HLG,116.464166,39.841666
NR18111551,朝阳后现代城14号楼HL,116.479723,39.897419
NR18111552,朝阳后现代城9号楼HL,116.482033,39.897477
NR18111554,朝阳厚金路北口HLG,116.498999,39.869227
NR18111555,朝阳呼家楼北街7号楼HL,116.461,39.9214
NR18111558,朝阳呼家楼电信局HL,116.457004,39.918579
NR18111561,朝阳虎城供热中心HLG,116.464782,39.879521
NR18111562,朝阳互润食品厂HLG,116.480277,39.843611
NR18111564,朝阳花虎沟南侧HL,116.359444,40.006944
NR18111574,朝阳华奥伟业家具公司HL,116.509,39.8579
NR18111583,朝阳华汇公园西南HLG,116.420959,39.995274
NR18111584,朝阳华锦苑古典家具HLG,116.457781,39.837614
NR18122211,朝阳华仑大厦HL,116.428,39.9886
NR18111593,朝阳华普祥业大厦HL,116.433307,39.923384
NR18111596,朝阳华侨城剧院HL,116.491921,39.866311
NR18122230,朝阳华泰饭店HLF,116.453,39.8785
NR18121900,朝阳华腾世纪总部6号楼HL,116.505,39.910833
NR18111606,朝阳华威路中部HLG,116.450021,39.874991
NR18121898,朝阳华威桥西侧HL,116.450833,39.870277
NR18121893,朝阳华馨公寓南侧HLG,116.393888,40.000555
NR18111610,朝阳华严北里54号楼HL,116.378748,39.983174
NR18121889,朝阳华严北里甲2号HL,116.379403,39.978902
NR18111617,朝阳化工路134号楼HL,116.508281,39.860731
NR18122310,朝阳化信大厦HL,116.401,39.9736
NR18122273,朝阳黄寺大街7天酒店HL,116.381812,39.961486
NR18121867,朝阳黄寺大街甲3号HL,116.390587,39.962132
NR18122102,朝阳汇园公寓HL,116.395,39.9927
NR18121861,朝阳汇园公寓Q座HL,116.396866,39.990235
NR18122288,朝阳惠侨饭店HL,116.418,39.9767
NR18121855,朝阳惠润园4号楼HL,116.497311,39.907591
NR18121853,朝阳惠新北里9号楼HL,116.413537,39.984185
NR18121851,朝阳惠新里238号楼HL,116.413431,39.977372
NR18121849,朝阳惠新里32号楼HL,116.414841,39.980869
NR18121847,朝阳惠新里7号楼HL,116.417016,39.981799
NR18121843,朝阳惠新西街南口C口西南HL,116.411605,39.973631
NR18121835,朝阳慧忠北里202号楼HL,116.396893,40.007764
NR18122104,朝阳慧忠北里HL,116.396,40.0039
NR18121829,朝阳慧忠里菜市场HL,116.397372,39.996302
NR18111660,朝阳吉祥里201号楼HL,116.434878,39.925013
NR18111661,朝阳吉祥里208号楼HL,116.436776,39.924471
NR18121816,朝阳嘉德老年公寓HLG,116.512169,39.901615
NR18121810,朝阳嘉禾园小区21号楼HL,116.441866,39.874269
NR18121808,朝阳嘉里中心JHL,116.455258,39.912311
NR18121801,朝阳建国门HL,116.430944,39.905382
NR18111671,朝阳建国门外3道街1号楼HL,116.435655,39.904581
NR18121799,朝阳建华路东北HL,116.437543,39.910267
NR18121797,朝阳建辉修理厂HLG,116.48319,39.8544
NR18121795,朝阳建辉修理厂北侧HLG,116.48,39.856111
NR18121793,朝阳建外SOHO南侧HLG,116.454943,39.902815
NR18121791,朝阳健安东桥北侧共电信HLG,116.395833,39.975277
NR18121789,朝阳健德门桥东南HLG,116.375523,39.974604
NR18121787,朝阳健翔桥东北HL,116.37352,39.98681
NR18121781,朝阳江苏饭店HL,116.400946,39.964105
NR18111692,朝阳交通信息中心HL,116.37284,39.99215
NR18121764,朝阳金百万劲松店HL,116.461342,39.872852
NR18111695,朝阳金蝉北里138酒店HL,116.502222,39.866388
NR18111696,朝阳金蝉西路HLG,116.493845,39.863761
NR18121761,朝阳金蝉西路北口北侧HLG,116.497353,39.877205
NR18121759,朝阳金地名居C3号楼HL,116.491651,39.909029
NR18111699,朝阳金港国际13号楼HL,116.476109,39.896725
NR18111700,朝阳金海国际北区HL,116.48544,39.894736
NR18121755,朝阳金茂府66号院6号楼HL,116.478722,39.894516
NR18121751,朝阳金漆镶嵌厂HLG,116.426388,39.833611
NR18121750,朝阳金泉广场北侧HL,116.404444,40.004166
NR18121745,朝阳金属材料公司HL,116.497777,39.900555
NR18121743,朝阳金属粉末厂HL,116.493888,39.900277
NR18121737,朝阳金台夕照东北HL,116.455804,39.91643
NR18121771,朝阳金泰国际大厦南HL,116.494174,39.892266
NR18121727,朝阳金桐东路东南HL,116.451814,39.9185
NR18121715,朝阳劲松宾馆HLG,116.44443,39.88135
NR18121713,朝阳劲松电影院南HL,116.449755,39.881248
NR18121711,朝阳劲松二区225号楼HL,116.447064,39.884311
NR18121707,朝阳劲松三区HL,116.451944,39.881666
NR18121705,朝阳劲松一区HL,116.454042,39.884369
NR18121674,朝阳京客隆劲松店HL,116.449691,39.882861
NR18121672,朝阳京伦饭店HL,116.448602,39.907672
NR18121669,朝阳京棉集团HL,116.494166,39.911388
NR18121668,朝阳京棉新城HL,116.499077,39.914913
NR18121662,朝阳京天明天酒店HL,116.517777,39.9
NR18121648,朝阳静安里17号楼HL,116.440703,39.957138
NR18121645,朝阳静安里4号楼HL,116.440927,39.959793
NR18121644,朝阳静安西街东口HLG,116.440053,39.961447
NR18121641,朝阳九都汇HL,116.459962,39.955025
NR18121640,朝阳九号温泉东HLG,116.498144,39.904503
NR18121599,朝阳剧场HLG,116.456017,39.921274
NR18122101,朝阳凯迪克酒店HL,116.394,39.9912
