name,lng,lat,9M5g_yonghushu,9M5g_liuliang,9M4g_liuliang,9MSite_zhuliubi,9M_fugailv,9M_tousu,12M5g_yonghushu,12M5g_liuliang,12M4g_liuliang,12MSite_zhuliubi,12M_fugailv,12M_tousu,归属区域名称,
昌平5G北汽福田1ZM,116.241116,40.120821,0,0,5.05,0.0000 ,,,36,0.13,7.12178889,0.0190 ,0.9870 ,,,
顺义5G裕龙五区东北角1H,116.673381,40.120651,609,13.28,27.67,0.3243 ,0.9843 ,,920,9.23,1.555877022,0.8560 ,0.9890 ,,,
城三5G海淀罗家坟村1Z,116.191133,40.120638,0,0,0.03,0.0000 ,,,0,0,0.32405025,0.0000 ,0.9900 ,,,
顺义5G国美电器卖场1HM,116.6447,40.12043,0,0,50.36,0.0000 ,,,0,0,3.652915241,0.0000 ,0.9900 ,,,
顺义5G怡馨家园移动营业厅1HM,116.642061,40.120341,0,0,40.49,0.0000 ,0.9997 ,,18,0.72,2.437248851,0.2280 ,1.0000 ,,,
城三5G海淀上庄皂甲屯车站北1Z,116.218851,40.120314,0,0,0.2,0.0000 ,,,0,0,0.026664528,0.0000 ,0.8830 ,,,
顺义5G居然之家（顺义店）1HM,116.636678,40.120174,0,0,80.5,0.0000 ,,,0,0,7.144260129,0.0000 ,1.0000 ,,,
昌平5G沙阳路东1Z,116.24874,40.12014,822,6.91,5.8,0.5437 ,0.9852 ,,8482,44.01,1.94269615,0.9580 ,1.0000 ,,,
城三5G海淀新东方学校东北1Z,116.12543,40.11971,416,2.53,2.7,0.4837 ,1.0000 ,,440,9.74,0.22074811,0.9780 ,0.8990 ,,,
昌平5G北七家社保所2Z,116.421396,40.118905,2,1.83,1,0.6467 ,,,2,2.01,0,1.0000 ,0.9940 ,,,
城三5G海淀上庄1Z,116.206818,40.118769,435,2.41,0.23,0.9124 ,0.9904 ,,1,2.65,0.332153964,0.8890 ,0.9930 ,,,
昌平5G北京宝晋行汽车销售有限公司1ZM,116.417271,40.118569,35,0,4.1,0.0002 ,0.8889 ,,0,0,0.345193803,0.0020 ,0.9470 ,,,
昌平5G罗兰香谷二期3ZM,116.257823,40.118518,0,0,9.33,0.0000 ,,,0,0,1.15417544,0.0000 ,0.9910 ,,,
顺义5G滨河小区东北1H,116.681282,40.118241,1225,10.19,20.57,0.3312 ,0.9779 ,,8,11.2,2.262742642,0.8320 ,0.9820 ,,,
城三5G海淀罗家坟村东南1Z,116.195177,40.117611,1519,0.41,1,0.2877 ,1.0000 ,,672,1.61,0.033327482,0.9800 ,0.9440 ,,,
城三5G海淀永泰庄污水沟旁1Z,116.217201,40.117597,3080,0,1.07,0.0000 ,,,883,11.37,0.230080983,0.9800 ,0.9870 ,,,
顺义5G国门智慧城1HM,116.55302,40.11728,8,0.05,55.36,0.0009 ,1.0000 ,,13,0.2,2.72144315,0.0690 ,1.0000 ,,,
